id,group,lr,bc_d_weight,bc_n_weight,p_dim,branch_h,trunk_h,n_fourier,batch_size,phase,epochs,mean_rel_l2_pct,max_rel_l2_pct,best_data_loss,elapsed_min
01,A_weights,0.001,5.0,1.0,512,"[256, 256]","[512, 512, 512]",8,16,1,2000,23.9898,34.8842,0.011684,3.13
02,A_weights,0.001,5.0,5.0,512,"[256, 256]","[512, 512, 512]",8,16,1,2000,27.3277,39.724,0.015293,3.07
03,A_weights,0.001,5.0,10.0,512,"[256, 256]","[512, 512, 512]",8,16,1,2000,39.8335,46.3555,0.032006,3.08
04,A_weights,0.001,10.0,1.0,512,"[256, 256]","[512, 512, 512]",8,16,1,2000,24.0041,34.9055,0.011699,3.08
05,A_weights,0.001,10.0,5.0,512,"[256, 256]","[512, 512, 512]",8,16,1,2000,28.0883,40.3268,0.016168,3.14
06,A_weights,0.001,10.0,10.0,512,"[256, 256]","[512, 512, 512]",8,16,1,2000,39.4793,46.5869,0.031461,3.19
07,A_weights,0.001,20.0,1.0,512,"[256, 256]","[512, 512, 512]",8,16,1,2000,23.9129,34.9685,0.011569,3.15
08,A_weights,0.001,20.0,5.0,512,"[256, 256]","[512, 512, 512]",8,16,1,2000,28.8695,40.7409,0.017143,3.28
09,A_weights,0.001,20.0,10.0,512,"[256, 256]","[512, 512, 512]",8,16,1,2000,40.5692,47.6911,0.033256,3.94
10,B_lr,0.0005,10.0,5.0,512,"[256, 256]","[512, 512, 512]",8,16,1,2000,26.2654,38.877,0.014197,3.93
11,B_lr,0.0002,10.0,5.0,512,"[256, 256]","[512, 512, 512]",8,16,1,2000,26.3256,38.7041,0.014299,4.0
12,B_lr,0.005,10.0,5.0,512,"[256, 256]","[512, 512, 512]",8,16,1,2000,395.6697,503.8395,0.39102,3.93
13,C_arch,0.001,10.0,5.0,256,"[256, 256]","[512, 512, 512]",8,16,1,2000,26.5933,39.2454,0.014646,2.78
14,C_arch,0.001,10.0,5.0,512,"[256, 256]","[512, 512, 512, 512]",8,16,1,2000,25.4979,37.2718,0.013435,3.85
15,C_arch,0.001,10.0,5.0,512,"[256, 256]","[256, 256, 256]",8,16,1,2000,25.561,37.4674,0.013453,2.09
16,D_fourier,0.001,10.0,5.0,512,"[256, 256]","[512, 512, 512]",4,16,1,2000,26.1213,32.8583,0.013087,3.17
17,D_fourier,0.001,10.0,5.0,512,"[256, 256]","[512, 512, 512]",16,16,1,2000,44.7483,55.2031,0.041421,3.3
07,A_weights,0.001,20.0,1.0,512,"[256, 256]","[512, 512, 512]",8,,2,15000,19.4637,25.5387,0.009513,55.66
01,A_weights,0.001,5.0,1.0,512,"[256, 256]","[512, 512, 512]",8,,2,15000,18.3341,24.7198,0.009543,54.81
04,A_weights,0.001,10.0,1.0,512,"[256, 256]","[512, 512, 512]",8,,2,15000,18.8358,25.1788,0.009572,55.39
